PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
CP000281,Idleb,Harim,Big Hir Jamus,Al Taakhi,"36.066364,36.390104",IS,317,301,325,254,1197,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000280,Idleb,Harim,Big Hir Jamus,Al Safsafa,"36.181181,36.482508",IS,587,456,518,458,2019,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000279,Idleb,Harim,Sarmada,Al Khirba Al Muhasara,"36.2029169150001,36.6066535140001",IS,147,141,131,126,545,0.5,1,1,1,1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000278,Aleppo,A'zaz,Azaz,Al Resalah (Al Armuda),"36.649798,37.188062",PC,2953,2777,3204,2754,11688,0.4,1,0.4,1,0.4,0.5,3. Partially covered,1. Fully covered,3. Partially covered,1. Fully covered,3. Partially covered,3. Partially covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.213076,36.685287",IS,0,0,0,0,1414,0.25,1,1,1,0.25,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.214366,36.774317",IS,0,0,0,0,1393,0.1,1,1,1,0.1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.165956,36.657787",IS,0,0,0,0,898,0.2,1,1,1,0.2,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.209653,36.665601",IS,0,0,0,0,2107,0.1,1,1,1,0.1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.250146,36.699867",IS,0,0,0,0,1099,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000272,Idleb,Harim,Karama,Nasret Al Mazloum,"36.394603,36.777476",IS,306,320,224,225,1075,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000271,Idleb,Harim,Karama,Al Nahda Aleslamia,"36.228928,36.797818",IS,205,198,194,188,778,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000270,Idleb,Harim,Karama,Aleman Billah,"36.276159,36.695039",IS,210,208,202,187,807,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000269,Idleb,Harim,Karama,Al Amal Bil Awdah,"36.271983,36.752652",IS,140,151,135,135,561,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000268,Idleb,Harim,Liyajlikum,Al Shrouk,"36.369132,36.627979",IS,125,129,146,144,544,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000266,Idleb,Harim,Qah,Kafr Nabutha Alsmoud,"36.260502732,36.797644884",IS,116,110,112,100,438,0.85,1,1,1,0,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000265,Idleb,Harim,Salam,Al Ahd Billah,"36.289612,36.735506",IS,394,387,385,372,1538,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000259,Idleb,Jisr-Ash-Shugur,Oben,Al Hanbushiyeh,"35.796408,36.263596",IS,335,527,490,442,1794,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000258,Idleb,Harim,Harim,Jabal Harim (Sabiroon),"36.1782667,36.6153278",IS,170,180,201,207,758,0.98,1,1,1,0,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000257,Idleb,Harim,Harim,Kafr Hum,"36.1068047990001,36.47773495",IS,301,302,188,165,956,1,0,0.6,1,0,0,1. Fully covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000256,Idleb,Harim,Liyajlikum,Al Hurriya wa Adalah,"36.387032732,36.795974884",IS,0,0,0,0,817,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000255,Idleb,Harim,Karama,Al Ghab Al Mankoub,"36.2112705710001,36.631485776",IS,164,160,156,146,631,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000238,Idleb,Jisr-Ash-Shugur,Darkosh,Meriamen,"35.8764919340001,36.3209032310001",IS,60,77,55,50,242,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000210,Idleb,Harim,Harim,Omahat Al Moumenien,"36.214643731,36.498825569",IS,90,85,63,13,251,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000198,Idleb,Harim,Sarmada,Khaled Bin Al Waleed,"36.141218,36.631901",IS,401,415,330,286,1432,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000197,Idleb,Harim,Sarmada,Al Imdad,"36.290864,36.779152",IS,183,190,150,130,653,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000196,Idleb,Harim,Sarmada,Al Nouri,"36.208377,36.599485",IS,350,335,310,297,1292,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000195,Idleb,Harim,Salam,Shams Al Izza,"36.293118,36.797325",IS,47,61,34,26,168,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000194,Idleb,Harim,Salam,Dma'aet Nazeh,"36.182492,36.675818",IS,76,65,82,86,309,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000193,Idleb,Harim,Salam,Dar Al Riaya - Disabled,"36.327585,36.680479",IS,311,221,259,208,999,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000191,Idleb,Harim,Salam,Al Salam,"36.299527,36.683876",IS,521,485,382,367,1755,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000190,Idleb,Harim,Salam,Al Nasser,"36.30962,36.73818",IS,416,432,405,415,1668,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000189,Idleb,Harim,Salam,Al Midan,"36.336739,36.671332",IS,257,288,214,236,995,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000188,Idleb,Harim,Salam,Al Khalij,"36.221223,36.67421",IS,172,137,102,79,490,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000187,Idleb,Harim,Salam,Al Jolan,"36.289554,36.763847",IS,499,469,312,276,1556,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000186,Idleb,Harim,Salam,Al Forkan,"36.307826,36.674392",IS,359,348,288,291,1286,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000184,Idleb,Harim,Qah,Shuhadaa Abdeen,"36.275223,36.684534",IS,204,187,180,181,752,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000182,Idleb,Harim,Qah,Ataa 6 (Shabab Al Khayr 3),"36.335412732,36.812654884",PC,389,336,457,379,1561,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000181,Idleb,Harim,Qah,Ataa 5 (Shabab Al Khayr),"36.386195,36.625485",PC,217,196,310,278,1001,1,0.7,0.9,0.9,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000180,Idleb,Harim,Qah,Qah,"36.267011,36.770271",IS,364,412,307,299,1382,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000179,Idleb,Harim,Qah,Madenh Monarh (Hmamiat),"36.237785,36.624141",IS,212,207,123,109,651,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000178,Idleb,Harim,Qah,Al Intisar,"36.367695,36.707598",IS,186,183,150,154,673,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000177,Idleb,Harim,Qah,Hibat Allah,"36.327867,36.784127",IS,194,203,169,165,731,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000176,Idleb,Harim,Qah,Ataa 2 (Hamad Al Ammar 1/Dar Al Riaya - Orphans),"36.197274,36.766116",PC,199,140,223,37,599,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000175,Idleb,Harim,Qah,Bani Omiyet,"36.2791722,36.690455",IS,93,106,91,94,384,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000174,Idleb,Harim,Qah,Bab Al Hawa,"36.313495,36.773265",IS,140,137,128,118,523,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000173,Idleb,Harim,Qah,Al Waleed,"36.22949,36.703188",IS,212,222,136,115,685,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000172,Idleb,Harim,Qah,Al Tawheed,"36.322642,36.747819",IS,109,104,104,90,407,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000171,Idleb,Harim,Qah,Al Rahmah,"36.386302,36.791668",IS,233,216,148,139,736,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000170,Idleb,Harim,Qah,Al Muhajreen,"36.286313,36.768762",IS,183,190,160,159,692,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000169,Idleb,Harim,Qah,Al Motasem,"36.242911,36.731429",IS,113,107,82,81,383,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000168,Idleb,Harim,Qah,Al Magad,"36.2782922,36.8089944",IS,101,104,112,108,425,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000167,Idleb,Harim,Qah,Al Imam,"36.217813,36.631574",IS,299,287,265,254,1105,0.5,1,1,1,0,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000166,Idleb,Harim,Qah,Al Bayan,"36.264627,36.69341",IS,0,0,0,0,678,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000165,Idleb,Harim,Qah,Al Arbaeen,"36.299724,36.6819289",IS,112,112,105,105,434,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000164,Idleb,Harim,Qah,Abu Bakker Al Sidiq,"36.2803494,36.685935",IS,244,239,138,108,729,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000162,Idleb,Harim,Liyajlikum,Toyor Al Janna (Heaven Bird's),"36.196777,36.693369",IS,228,236,209,226,899,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000161,Idleb,Harim,Liyajlikum,Qassioun,"36.382726,36.651653",IS,104,133,136,122,495,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000160,Idleb,Harim,Liyajlikum,Liyajlikum,"36.380034,36.653211",IS,359,330,242,237,1168,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000159,Idleb,Harim,Liyajlikum,Lan Narka`llla Lilah,"36.235546,36.799588",IS,438,432,429,419,1718,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000158,Idleb,Harim,Liyajlikum,Korayish (Al Khair),"36.316503,36.787313",IS,244,224,143,123,734,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000157,Idleb,Harim,Liyajlikum,Fardoose,"36.219043,36.640134",IS,289,290,203,212,994,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000156,Idleb,Harim,Liyajlikum,Children of Freedom Martyrs,"36.277575,36.7102242",IS,138,131,136,145,550,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000155,Idleb,Harim,Liyajlikum,Al Nawaeer,"36.210279,36.615782",IS,404,515,300,312,1531,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000154,Idleb,Harim,Liyajlikum,Al Aasy,"36.20176,36.740249",IS,207,222,213,220,862,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000153,Idleb,Harim,Karama,Zahret Al Madaen,"36.273877,36.736483",IS,248,222,141,134,745,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000152,Idleb,Harim,Karama,Yasmeen Al Sham,"36.2767,36.692648",IS,433,416,264,256,1369,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000151,Idleb,Harim,Karama,Watasimu (including Tadamun and Sahl Al Ghab),"36.230016,36.719579",IS,296,260,273,262,1091,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000150,Idleb,Harim,Karama,Tajammu,"36.229638,36.646429",IS,41,40,32,31,144,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000149,Idleb,Harim,Karama,Taibah,"36.223182,36.684667",IS,0,0,0,0,957,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000148,Idleb,Harim,Karama,Tabarak Al Rahman,"36.199589,36.674638",IS,349,312,355,328,1344,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000146,Idleb,Harim,Karama,Sons of Homs (Abna Homs),"36.213407,36.588103",IS,184,213,152,173,722,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000145,Idleb,Harim,Karama,Shams Al Hurriya,"36.383734,36.756267",IS,345,293,343,357,1338,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000144,Idleb,Harim,Karama,Shaheid Saleh,"36.197918,36.657363",IS,258,233,157,154,802,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000143,Idleb,Harim,Karama,Sedik (Extension of Al Aqsa),"36.304402,36.703858",IS,75,75,65,60,275,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000142,Idleb,Harim,Karama,Salah Eldin (including Al Islah),"36.301913,36.689354",IS,319,333,266,241,1159,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000141,Idleb,Harim,Qah,Sahl Al Ghab Alawal,"36.230779,36.689679",IS,155,129,131,119,534,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000140,Idleb,Harim,Karama,Rawdah,"36.213794,36.660519",IS,179,158,117,111,565,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000139,Idleb,Harim,Karama,Rajaa,"36.37274,36.794568",IS,216,228,174,153,771,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000138,Idleb,Harim,Karama,Qadisiya,"36.265325,36.702794",IS,163,208,197,192,760,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000137,Idleb,Harim,Karama,Nour Al Sham,"36.265314,36.751949",IS,171,163,129,116,579,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000136,Idleb,Harim,Karama,Nour Al Mustakbal,"36.210026,36.779492",IS,211,209,185,176,781,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000135,Idleb,Harim,Karama,Nour Al Mustafa,"36.383455,36.78378",IS,301,281,224,214,1020,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000134,Idleb,Harim,Karama,Kura Mankouba,"36.345017,36.711006",IS,166,158,157,153,634,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000133,Idleb,Harim,Karama,Harameen,"36.233028,36.63238",IS,219,181,177,170,747,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000132,Idleb,Harim,Karama,Reef Hama Mankouba,"36.220651,36.671864",IS,215,211,160,157,743,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000131,Idleb,Harim,Karama,Doaat Al Kwait (Al Khayrat),"36.375252,36.646466",IS,189,168,175,184,716,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000130,Idleb,Harim,Karama,"Al Resalah (extension of Doaa, Doaa & Saleh)","36.330121,36.766569",IS,127,125,120,109,481,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000129,Idleb,Harim,Karama,Doaa,"36.322593,36.68014",IS,279,270,259,248,1056,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000127,Idleb,Harim,Karama,Atfal Alghad,"36.375485,36.652229",IS,162,169,134,124,589,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000126,Idleb,Harim,Qah,Ataa 3 (Al Ansar),"36.199102,36.631617",PC,126,122,216,186,650,1,0.8,0.8,0.8,0.9,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000125,Idleb,Harim,Karama,Al Shuhada,"36.317343,36.659472",IS,145,168,159,63,535,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000124,Idleb,Harim,Karama,Al Safa wa Al Marwa,"36.22232,36.636024",IS,241,185,191,193,810,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000122,Idleb,Harim,Karama,Al Mustakbal,"36.297669,36.711999",IS,254,268,179,172,873,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000121,Idleb,Harim,Karama,Al Manara,"36.264585,36.6958721",IS,235,194,177,175,781,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000120,Idleb,Harim,Karama,Al Mahabbah,"36.375375,36.772364",IS,217,209,174,167,767,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000118,Idleb,Harim,Karama,Al Karama,"36.381182,36.673619",IS,756,740,545,525,2566,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000117,Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,210,197,165,169,741,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000116,Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,406,413,384,381,1584,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000115,Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,142,145,123,126,536,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000114,Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,131,135,137,115,518,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000113,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Salah Alden (Kherbet Eljoz),"35.948245,36.215875",IS,881,702,708,611,2902,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000112,Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,193,189,185,169,736,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000111,Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,237,230,231,216,914,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000110,Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,182,158,142,124,606,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000109,Idleb,Harim,Karama,Al Ataa,"36.353285,36.622473",IS,221,204,175,157,757,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000108,Idleb,Harim,Karama,Al Asil,"36.314861,36.658513",IS,273,256,162,153,844,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000107,Idleb,Harim,Karama,Al Aqsa,"36.363769,36.788911",IS,208,186,186,160,740,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000106,Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,326,305,286,254,1171,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000104,Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,187,152,141,126,606,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000103,Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,233,221,151,145,750,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000096,Idleb,Harim,Big Hir Jamus,Kefreneh school,"36.189337794,36.4203165960001",IS,15,13,7,6,41,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000075,Idleb,Harim,Big Hir Jamus,Samidoon,"36.09928,36.39674",PC,1004,911,562,466,2943,0.75,1,1,1,0.72,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,4. Not covered - N/A
CP000074,Idleb,Harim,Big Hir Jamus,Kadimoon,"36.09454,36.37938",PC,442,685,749,380,2256,0.87,1,1,1,0.64,0,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,4. Not covered - N/A
CP000073,Idleb,Harim,Big Hir Jamus,Ayidoun,"36.114054,36.382756",PC,1102,918,562,466,3048,0.79,0.94,0.98,1,0.6,0,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered,2. Mostly covered,4. Not covered - N/A
CP000072,Idleb,Harim,Bab Al Hawa,Termanin,"36.2814669150001,36.7576635140001",IS,22,40,22,20,104,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000071,Idleb,Harim,Bab Al Hawa,Taiba City,"36.214942,36.594669",IS,589,656,274,233,1752,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
CP000070,Idleb,Harim,Bab Al Hawa,Shahba'2,"36.21557,36.65747",IS,102,111,100,90,403,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
